,Name,Mocked hit for every stage,,,,,,Damage Dealt on Official Matches,,,,,,,,,,
,,,,,,,,Day 1,,,Day 2,,,Day 3,,,,
,,1,2,3,4,5,6,Stage,Damage,Killed,Stage,Damage,Killed,Stage,Damage,Killed,Notes,
,Alex,100.00%,100.00%,100.00%,75.00%,9.00%,1.50%,5,9.62%,FALSE,,,FALSE,,,FALSE,,Using stage 6 with 0.01% to track non attacks
,,,,,,,,5,9.80%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,8.30%,FALSE,,,FALSE,,,FALSE,,
,Aztrus,100.00%,100.00%,100.00%,75,6,2,5,3.99%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,2.87%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,5.34%,FALSE,,,FALSE,,,FALSE,,
,Babyroth,100,100,100,100,35,7,5,39%,FALSE,5,35,FALSE,,,FALSE,,
,,,,,,,,5,40%,FALSE,5,42,FALSE,,,FALSE,,
,,,,,,,,4,100%,TRUE,6,11,FALSE,,,FALSE,,
,Bilvaxx,100,100,100,85,13,2,5,14.42%,TRUE,,,FALSE,,,FALSE,,
,,,,,,,,5,11.01%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,13.02%,FALSE,,,FALSE,,,FALSE,,
,Cidolfus,100,100,100,100,37,8,6,12.34%,FALSE,6,11.75%,FALSE,,,FALSE,,
,,,,,,,,6,2.06%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,6,7.03%,FALSE,,,FALSE,,,FALSE,,
,Celes,100.00%,100.00%,100.00%,100.00%,15.00%,2.50%,5,15.80%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,15.45%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,15.41%,FALSE,,,FALSE,,,FALSE,,
,Cloud,100,100,100,65,4,0.9,4,77.15%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,4,91.01%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,4,63.46%,FALSE,,,FALSE,,,FALSE,,
,CloudedSky,100.00%,100.00%,100.00%,25%,1%,0.50%,6,0.01%,FALSE,,,FALSE,,,FALSE,Estimated based on gear sheet.,
,,,,,,,,6,0.01%,FALSE,,,FALSE,,,FALSE,Had some health issues.,
,,,,,,,,6,0.01%,FALSE,,,FALSE,,,FALSE,"Sick, in and out of hospital",
,Crusadors,100%,100%,100%,30%,4%,1%,3,100.00%,TRUE,4,10.79%,TRUE,,,FALSE,,
,,,,,,,,3,100.00%,TRUE,,,FALSE,,,FALSE,,
,,,,,,,,3,100.00%,TRUE,,,FALSE,,,FALSE,,
,DDelaneyCA,100.00%,100.00%,100.00%,100.00%,40.00%,14.50%,6,14.49%,FALSE,6,18.49%,FALSE,,,FALSE,,
,,,,,,,,6,16.49%,FALSE,6,17.74%,FALSE,,,FALSE,,
,,,,,,,,6,18.04%,FALSE,6,16.46%,FALSE,,,FALSE,,
,David,100%,100.00%,100.00%,86.51%,15.00%,2.00%,5,3.40%,TRUE,,,FALSE,,,FALSE,Estimated 5 and 6 for sorting,
,,,,,,,,6,0.01%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,6,0.01%,FALSE,,,FALSE,,,FALSE,,
,Domi,100.00%,100.00%,100.00%,100.00%,15.00%,5.00%,5,11.24%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,13.26%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,18.43%,TRUE,,,FALSE,,,FALSE,,
,Fayt,100.00%,100.00%,95.00%,18.00%,3.00%,1.00%,4,8.99%,TRUE,,,FALSE,,,FALSE,,
,,,,,,,,2,100.00%,TRUE,,,FALSE,,,FALSE,,
,,,,,,,,1,100.00%,TRUE,,,FALSE,,,FALSE,,
,JakeRyan,100%,100%,100.00%,36.48%,3.58%,0.84%,1,100.00%,TRUE,,,FALSE,,,FALSE,Estimated 5 and 6 for sorting,
,,,,,,,,2,100.00%,TRUE,,,FALSE,,,FALSE,,
,,,,,,,,3,100.00%,TRUE,,,FALSE,,,FALSE,,
,Jaksprat,100.00%,100.00%,100.00%,100.00%,21.00%,6.00%,5,16.00%,TRUE,,,FALSE,,,FALSE,,
,,,,,,,,5,18.00%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,22.00%,FALSE,,,FALSE,,,FALSE,,
,Jchu000,100.00%,100.00%,100.00%,100.00%,13.00%,5.00%,5,14.98%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,15.85%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,12.91%,FALSE,,,FALSE,,,FALSE,,
,Kamio,100.00%,100.00%,100.00%,25%,5.00%,1.50%,4,19.94%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,4,28.70%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,4,7.87%,TRUE,,,FALSE,,,FALSE,,
,Kevin,100.00%,100.00%,100.00%,24.00%,0.72%,0.29%,4,2.90%,TRUE,1,100,TRUE,,,FALSE,Kenny probably running his account,
,,,,,,,,1,100.00%,TRUE,2,100,TRUE,,,FALSE,Family health issues,
,,,,,,,,2,100.00%,TRUE,3,100,TRUE,,,FALSE,,
,Player1,100.00%,100.00%,100.00%,100.00%,14.00%,2%,5,8.32,TRUE,,,FALSE,,,FALSE,,
,,,,,,,,5,7.99,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,13.88,FALSE,,,FALSE,,,FALSE,,
,PlzGamerZL,100.00%,100.00%,100.00%,70.00%,10.00%,2.00%,5,6.08%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,7.26%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,10.00%,FALSE,,,FALSE,,,FALSE,,
,Mardeleva,100.00%,100.00%,100.00%,100%,12.00%,"6,50%",5,11.21%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,12.67%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,8.92%,FALSE,,,FALSE,,,FALSE,Lag,
,Marauderi,100.00%,100.00%,100.00%,40.00%,4.00%,1.40%,4,2.64%,TRUE,,,FALSE,,,FALSE,,
,,,,,,,,3,100.00%,TRUE,,,FALSE,,,FALSE,,
,,,,,,,,5,4.85%,FALSE,,,FALSE,,,FALSE,,
,RIPeactive,100.00%,100.00%,100.00%,100.00%,18.00%,5.00%,5,17.00%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,18.83%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,18.65%,FALSE,,,FALSE,,,FALSE,,
,Seliphas,100.00%,100.00%,100.00%,45.00%,5.00%,1.50%,4,45.76%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,4,51.59%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,4,45.54%,FALSE,,,FALSE,,,FALSE,,
,SGotem,100%,100%,100%,100%,16.00%,3.20%,5,13.60%,TRUE,,,FALSE,,,FALSE,,
,,,,,,,,5,17.53%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,13.65%,FALSE,,,FALSE,,,FALSE,,
,Skyward,100%,100.00%,100.00%,51.30%,3.00%,1.00%,1,100.00%,TRUE,,,FALSE,,,FALSE,,
,,,,,,,,2,100.00%,TRUE,,,FALSE,,,FALSE,,
,,,,,,,,4,43.70%,FALSE,,,FALSE,,,FALSE,,
,TheEly,100.00%,100.00%,100.00%,72.00%,9.00%,2.00%,5,9.05%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,9.05%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,5,9.15%,FALSE,,,FALSE,,,FALSE,,
,Tiagozaki,100.00%,100.00%,100.00%,40.00%,2.00%,1.00%,1,100.00%,TRUE,,,FALSE,,,FALSE,,
,,,,,,,,2,100.00%,TRUE,,,FALSE,,,FALSE,,
,,,,,,,,3,100.00%,TRUE,,,FALSE,,,FALSE,,
,Ultimazing,100.00%,100.00%,100.00%,100.00%,37%,12.00%,6,15.54%,FALSE,,,FALSE,,,FALSE,enliven dropped off 3rd attempt,
,,,,,,,,6,14.97%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,6,11.85%,FALSE,,,FALSE,,,FALSE,,
,Zelarith,100.00%,100.00%,100.00%,100.00%,25.00%,8.00%,5,25.04%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,6,7.51%,FALSE,,,FALSE,,,FALSE,,
,,,,,,,,6,1.07%,TRUE,,,FALSE,,,FALSE,,