,Name,Mocked hit for every stage,,,,,,Damage Dealt on Official Matches,,,,,,,,,
,,,,,,,,Day 1,,,Day 2,,,Day 3,,,
,,1,2,3,4,5,6,Stage,Damage,Killed,Stage,Damage,Killed,Stage,Damage,Killed,Notes
,Aztrus,100.00%,100.00%,100.00%,80.00%,15.00%,6.00%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Babyroth,100.00%,100.00%,100.00%,100.00%,50.00%,14.00%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Bilvaxx,100.00%,100.00%,100.00%,100.00%,18.00%,5.00%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Cidolfus,100.00%,100.00%,100.00%,100.00%,65.00%,15.00%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Celes,100.00%,100.00%,100.00%,100.00%,34.00%,10.00%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Cloud,100.00%,100.00%,100.00%,34.80%,4.40%,2.17%,,,FALSE,,,FALSE,,,FALSE,Day 2 - hit 1 : decimals forgotten
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,CloudedSky,100.00%,100.00%,100.00%,60.00%,7.00%,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Crusadors,100.00%,100.00%,100.00%,25.00%,6.00%,2.00%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,DDelaneyCA,100.00%,100.00%,100.00%,100.00%,35.00%,13.50%,,,FALSE,,,FALSE,,,FALSE,Can hit 50% Stage 5
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Domi,100.00%,100.00%,100.00%,100.00%,50.00%,14.00%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Fayt,100.00%,100.00%,100.00%,40.00%,8.66%,3.00%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,JakeRyan,100.00%,100.00%,100.00%,70.00%,13.50%,2.16%,,,FALSE,,,FALSE,,,FALSE,Can hit 75% on stage 4
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Jaksprat,100.00%,100.00%,100.00%,100.00%,30,13.5,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Jiggaman,100.00%,100.00%,100.00%,24.00%,6.00%,2.00%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Kamio,100.00%,100.00%,100.00%,42.00%,10.00%,3.75%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Kenny,100.00%,100.00%,100.00%,100.00%,14.87%,3.56%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Kevin,100.00%,100.00%,95.00%,27.00%,2.30%,0.80%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Player1,100.00%,100.00%,100.00%,50.00%,30.00%,6.00%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,PlzGamerZL,100.00%,100.00%,100.00%,75.00%,17.00%,3.00%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Mardeleva,100.00%,100.00%,100.00%,63.40%,13.50%,4.65%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Reactive,100.00%,100.00%,100.00%,100.00%,40.00%,10.00%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Seliphas,100.00%,100.00%,100.00%,35.00%,5.00%,1.75%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Sithcloud,100.00%,100.00%,100.00%,60.00%,14.00%,4.00%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Skyward,100.00%,100.00%,100.00%,40.00%,6.00%,2.00%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,TheEly,100.00%,100.00%,100.00%,73.18%,8.59%,2.44%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Tiagozaki,100.00%,100.00%,100.00%,100.00%,20.00%,7.00%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Todd,100.00%,100.00%,100.00%,52%,11.00%,2.00%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Ultimazing,100.00%,100.00%,100.00%,100.00%,40%,12.00%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Urameshi,100.00%,100.00%,100.00%,100.00%,53.00%,15,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,Zelarith,100.00%,100.00%,100.00%,100.00%,30.00%,10.00%,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,
,,,,,,,,,,FALSE,,,FALSE,,,FALSE,